epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_bce_mean,train_bce_std,val_bce_mean,val_bce_std,val_auc_mean,val_auc_std
1,0.41196133900868814,0.03141975664940628,0.20705083007212152,0.11869266606052979,0.7474549343332452,0.018318960693670325,0.8298290947158931,0.07978801051778686,0.6429687245220461,0.0685938290374599
2,0.466778714600166,0.042031172290609514,0.4318309578800168,0.18124741733556574,0.7208789117153654,0.019120503056249905,0.7530418571077786,0.09335299020596705,0.6886672639345737,0.06201909056942191
3,0.5354348753299087,0.04865594646717156,0.4552162531688868,0.13825497432098352,0.6901698538221462,0.022211201568699636,0.7471078948844537,0.0676125424180854,0.713431062047747,0.07888759940933655
4,0.5872551434932431,0.05523621035859776,0.4814310485293193,0.0656700157429331,0.6604552316785895,0.026203853808781572,0.7249978707856599,0.025090756748473112,0.7197694620157327,0.08264576114219224
5,0.6392505526383145,0.038778212130623185,0.5233563733643927,0.05008186128241332,0.6292373229957403,0.020323674136939744,0.713170629723548,0.04828354605097085,0.7300096951337498,0.0823106306097936
6,0.669905705099592,0.0396795689100261,0.5172208838150085,0.08835717518020078,0.6069142680432226,0.027498633787120877,0.7192665092865204,0.0567786006556385,0.731498980877448,0.07483043012815116
7,0.6950099959100483,0.04142070548069491,0.598895659940484,0.10209465239163527,0.5848073888144675,0.032182989974250516,0.6737754748877964,0.061920601604756424,0.7459205201319596,0.0700954702310714
8,0.7241535142920883,0.0208987385715013,0.5968574213568546,0.11708913182489904,0.5614707048729615,0.0240538509802198,0.673926806809211,0.07721848372888324,0.7370815797959226,0.07635501040167049
9,0.7416779785912306,0.032938210037693316,0.648662369118625,0.04678199063744042,0.5355225556893936,0.0301002744974788,0.6316093373457599,0.03970753339742,0.7358421407474337,0.06969815299872795
10,0.7689615128142437,0.022706740300707205,0.6525674935501474,0.0847097094408527,0.511402675358697,0.025257707940535917,0.6280610374223861,0.07046591912883918,0.7377240769035365,0.06835076674114259
11,0.7902296764806993,0.029783380984869646,0.6726114777394206,0.10492550327742008,0.4871632669866483,0.03604639727050456,0.6080862104744289,0.08739256756629739,0.7380970000553249,0.06699342124644642
12,0.8030069808429273,0.030038582027548968,0.7178840022922348,0.07187420201147907,0.4729696680312346,0.02897593959286478,0.5639473753740992,0.07446347226414785,0.7455288383419469,0.06686722241935329
13,0.802980641140449,0.028182367643240155,0.7035429564830671,0.025877038147220328,0.4680839708041288,0.03446848428836354,0.5781365004959751,0.02789507485402175,0.7490538959631236,0.06457539345421187
14,0.8231595740865393,0.021630206210147784,0.752360584948024,0.035133037745671544,0.44195525052224865,0.01911748560237297,0.5251405302014799,0.043436739109674875,0.7562673399401866,0.06666588655125243
15,0.8415979643418522,0.026999185722173684,0.7351004522714274,0.05792931929802461,0.42073761975861845,0.03056190792575072,0.5367264814289778,0.06046305707019968,0.7597830981560296,0.060023603552446944
16,0.854175890683542,0.024091227683159303,0.7282512070602447,0.05367042224017588,0.3967142622107943,0.033735639154399116,0.5376376730676222,0.050230560606036666,0.7581260660710499,0.0565022201606007
17,0.8630499748941822,0.02493178073305854,0.7307962882203988,0.050842094942693046,0.3886068885543033,0.035784196094125253,0.5282974705742995,0.04806597236495419,0.7531325362612373,0.05438225628716578
18,0.8657730092690512,0.025268563152938753,0.765355368690372,0.05062934967847687,0.37420004745315455,0.032694872316110096,0.4882761993029394,0.05167789770633262,0.754418944074013,0.05467356961411397
19,0.8714902339835,0.02083454314407985,0.748287062176926,0.07349187238222381,0.36920547978461576,0.03754991292464063,0.5094304353790062,0.0735927943084587,0.759836198340915,0.04675457656707506
20,0.8792297759134549,0.02371587100169251,0.7536625232269223,0.05188392047396575,0.3552013765780993,0.03269588205223297,0.5056476283524276,0.05904733633227644,0.7637623054344078,0.046663431734028475
21,0.878852811689798,0.0243524463263688,0.7667775865340506,0.06969765554533104,0.3525830877594063,0.03851665423220352,0.4919588055717064,0.06802616815452842,0.7627446397067983,0.04911654994038836
22,0.8905782127141455,0.016214276346135616,0.7874177512808641,0.0465745215554944,0.33498902456037155,0.029287812396958844,0.47000130027483855,0.04868281654970186,0.7639121403242451,0.045211062335189324
23,0.8930810152224525,0.01290505492851119,0.7780063855753736,0.05067617867990198,0.33059755714304795,0.033180109895847375,0.4777613301842045,0.05017472978580511,0.7603166771422852,0.0460152900046364
24,0.895438464850379,0.020953722370193495,0.7836004338344711,0.033228184312649484,0.3279934324604063,0.03540655992499413,0.4681075646554582,0.0356208687037764,0.7623851151736459,0.044490332558952385
25,0.8981307272462656,0.010923130563256812,0.7965262162871287,0.03977453651319999,0.3226525516414358,0.02416672850156167,0.45173517363091403,0.05164780248845227,0.7615552742912881,0.047085638792466286
26,0.9047402590704525,0.020019787850378463,0.7920142436415196,0.029453387467436597,0.31084748636941534,0.037467192510879,0.45888748474750385,0.041584543594518644,0.7624733791774075,0.045468665846920546
27,0.9059538300095571,0.013686198501723293,0.7877687147155044,0.047822462074056736,0.3073981875736561,0.032300471677625085,0.462324515980971,0.056831818480491736,0.7612669883195611,0.04867411938157922
28,0.9093564633895312,0.017897770169013682,0.7963515572279201,0.04627432084866177,0.3013531018204668,0.03378175792490806,0.4573231563618461,0.05805536078770831,0.761110403452488,0.04939646138372445
29,0.9148127640660118,0.011078326178876127,0.7981583038538169,0.030583546215445446,0.2919665191066768,0.023153325425470078,0.45793067592757153,0.03973815762662202,0.7619538134398722,0.049822744721498065
30,0.9093852502000278,0.012225137112248723,0.7841966244790999,0.034112623970114046,0.29402477250104747,0.028857415016630986,0.4655911327063335,0.044506080548138344,0.7656947421262456,0.048402290649201256
31,0.9126968378341802,0.020481283021678762,0.7968034778488096,0.0266236498329106,0.29359627231539503,0.037670460930349384,0.4572652933849331,0.038320491387598125,0.7646395882233662,0.04725137692009052
32,0.9186215411557128,0.009715183424395021,0.7881933049303335,0.035068660207312655,0.28581849955968586,0.02636719602793867,0.46347371265960735,0.04978622895942292,0.7647184703788319,0.04807359042208411
33,0.9127318220616291,0.015365935465322958,0.796263426335169,0.0333031838288315,0.2927626357792493,0.03007245737494077,0.44914196674361273,0.047278456665471286,0.7660936749831955,0.04792153926608266
34,0.9127217387073128,0.017271645588161542,0.7941352579946621,0.03240328601545251,0.28710846883870733,0.02790528540609534,0.45281673934882577,0.045033952733868725,0.7653604581645357,0.047251139185204766
35,0.9182427423134898,0.011848444528025113,0.8075410723830422,0.006502407928269711,0.2901003384202623,0.02788427046322331,0.43735200964822163,0.007112546223209029,0.7735863607759488,0.049811682787325694
36,0.9158351573677397,0.011527234139133759,0.8016298843784286,0.010762079774964404,0.2925076622063439,0.029137443839256726,0.4377717761970671,0.008774269789831821,0.7738418860831822,0.04948504093639536
37,0.9155935017922986,0.01634669353966022,0.7991644864545531,0.013347999490359162,0.28823032927805947,0.0286610349016838,0.4380603346624991,0.013047445132559855,0.7738096146293767,0.049384081751355974
38,0.8989322397103376,0.016014795568881766,0.7912629757785468,0.008196566494722963,0.3203141764038753,0.008210301261967194,0.4484404242678084,0.0067167574947903305,0.795389898232053,0.07308613099541209
39,0.8956043956043956,,0.7854671280276817,,0.3300725377195484,,0.4528556794031269,,0.8470695970695972,
40,0.9084249084249084,,0.7854671280276817,,0.3200186706069625,,0.4528353191577027,,0.8470695970695972,
41,0.9010989010989012,,0.7681660899653979,,0.3250246838335589,,0.4807414445497585,,0.8443223443223443,
42,0.8864468864468864,,0.8719723183391004,,0.3210060333375966,,0.3589047981381004,,0.8532509157509158,
43,0.8836996336996337,,0.8200692041522492,,0.3152523809846068,,0.3819439287416662,,0.853937728937729,
44,0.9084249084249084,,0.7508650519031141,,0.3114782329444047,,0.5072981358399441,,0.8443223443223443,
45,0.9175824175824177,,0.7577854671280276,,0.2856584072877199,,0.4741598427501929,,0.8569139194139195,
46,0.8983516483516484,,0.8096885813148789,,0.3001400400430728,,0.421270955805135,,0.8411172161172161,
47,0.9294871794871796,,0.7750865051903114,,0.262938733175124,,0.4688265470072472,,0.8468406593406593,
48,0.9267399267399268,,0.8269896193771626,,0.2615672519137134,,0.3717054884532744,,0.8518772893772893,
49,0.9478021978021978,,0.8062283737024222,,0.2395019036727947,,0.4011603325708515,,0.8523351648351648,
50,0.9386446886446886,,0.8062283737024222,,0.2268649733765221,,0.4025714628424199,,0.8404304029304029,
51,0.9313186813186812,,0.8131487889273357,,0.2366720690177037,,0.4053941282434034,,0.841117216117216,
52,0.9304029304029304,,0.7854671280276817,,0.2268211093250211,,0.4523565697010001,,0.8353937728937728,
